address,Card Name,Mission,Standard,Shadow,Stainless Steel,Gold,Dark Matter,Ownership,Staking Weight
dczew.wam,Male Scientist,Two,1,2,,,1,,479.00
dczew.wam,Male Botanist,Three,,2,2,,,,81.00
dczew.wam,Female Doctor,Three,1,2,,1,,,158.00
dczew.wam,Communication Array,Three,1,1,,,,,7.50
dczew.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
dczew.wam,Fuel Plant,One,,,,,1,,465.00
dczew.wam,Female Engineer,Two,4,5,1,,,,70.50
dczew.wam,Inflatable Greenhouse,Two,3,2,3,,1,,583.00
dczew.wam,Megapower Reactor,Three,3,2,1,,,,50.00
dczew.wam,Buggy,Three,2,3,2,,,,89.50
dczew.wam,Male Doctor,Three,2,2,3,1,,,261.00
dczew.wam,Rover,One,,,,,1,,465.00
dczew.wam,Solar Panel Array,One,,,,,1,,465.00
dczew.wam,Inflatable Social Hub,Three,6,,2,,,,74.00
dczew.wam,Male Engineer,Two,,5,1,,,,66.50
dczew.wam,3D Printing Robot,Two,2,2,3,,,,117.00
dczew.wam,Medical Bay,Three,2,1,1,,,,42.50
dczew.wam,Inflatable Sleeping Pod,Two,2,2,2,,,,83.00
dczew.wam,Scouting Drone,One,,,,,1,,465.00
dczew.wam,Inflatable Laboratory,Two,4,2,1,,,,51.00
dczew.wam,Crew Rocketship,Two,3,4,4,,,,165.00
dczew.wam,Fuel Generator,Three,,3,2,,,,87.50
dczew.wam,Inflatable Dining Hall,Three,3,1,1,,,,43.50
dczew.wam,Female Botanist,Three,1,2,3,1,,,260.00
dczew.wam,Female Scientist,Two,1,3,1,,,,54.50
dczew.wam,Cargo Rocketship,One,,,,,1,,465.00
aefwinenmars,Cargo Rocketship,One,,,1,,,,34.00
aefwinenmars,Inflatable Greenhouse,Two,,,,,1,,465.00
aefwinenmars,ZFT League of Martians,Community Patch,,,,,,,0.00
m22he.wam,Rover,One,,,,,1,,465.00
m22he.wam,Scouting Drone,One,,,,,1,,465.00
m22he.wam,Fuel Plant,One,,,,,1,,465.00
m22he.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
c.rwc.wam,Female Engineer,Two,,,,,2,,930.00
c.rwc.wam,Fuel Generator,Three,,1,,,,,6.50
c.rwc.wam,Medical Bay,Three,4,,,1,1,,613.00
c.rwc.wam,Communication Array,Three,3,1,,,,,9.50
c.rwc.wam,Scouting Drone,One,,1,,,3,,1401.50
c.rwc.wam,Inflatable Dining Hall,Three,2,3,,,,,21.50
c.rwc.wam,Fuel Plant,One,,,1,,3,,1429.00
c.rwc.wam,ZFT League of Martians,Community Patch,,,,,,,0.00
c.rwc.wam,Fission Reactor,One,,1,,,1,,471.50
c.rwc.wam,Female Scientist,Two,,,,,1,,465.00
