action sequence,time,account,actor,from,to,quantity,txID
3774,2022-01-16T23:00:16.000,martia,bank.mars,bank.mars,martia,187569.2183,51e6965cf868e691aa9ad3ce8af622d8a56a2cbd311d687d9fc9f7bb604c3fc5
3772,2022-01-16T22:00:17.000,martia,bank.mars,bank.mars,martia,187566.7571,a3e0efca1c95385a38c1d6c18f873bf9801b6705013e782e04592ea4aba7724c
3770,2022-01-16T21:00:16.500,martia,bank.mars,bank.mars,martia,187564.7335,a7140fcb322e022549217a6cd1868ef78e2bce9213e4d08b247d89681f08a6bb
3768,2022-01-16T20:00:16.500,martia,bank.mars,bank.mars,martia,187555.2282,077b6933907625f895ca1ca0ccc741b46064986844c4931fdd30c580bf849c85
3766,2022-01-16T19:00:16.000,martia,bank.mars,bank.mars,martia,187557.0322,f54adb3be01c062547964ed223eaf73eeae602c3143728b000a706116c9204f7
3764,2022-01-16T18:00:16.500,martia,bank.mars,bank.mars,martia,187541.5492,285e78d259093a43955d50f772f0322283cbece8cb509ad7309bfe963c02727c
3762,2022-01-16T17:00:18.000,martia,bank.mars,bank.mars,martia,187536.4781,43bf447999611de11768cbe8c60b94f845d692baaa7c471d8a71d3950d60b7d9
3760,2022-01-16T16:00:18.500,martia,bank.mars,bank.mars,martia,187598.7562,debfba0ea7b25ae4deeb9794ecd47b199460326ff2dccc6ba06cf011e02415f1
3758,2022-01-16T15:00:17.000,martia,bank.mars,bank.mars,martia,187529.3736,13c4f9f7fe232cc51c2cea8fbd3b13fa134eef983f79a82a964bdd9534bb9303
3756,2022-01-16T14:00:16.500,martia,bank.mars,bank.mars,martia,187523.3817,6b676900f6ad99cd799756335acde882bac4568d98119dc53008e62d7bd965b4
3754,2022-01-16T13:00:16.500,martia,bank.mars,bank.mars,martia,187525.3042,0a2cc1fc7dba68ba63a203696f6991f0844b3a22129f62a00e0fb977c37decc9
3752,2022-01-16T12:00:16.500,martia,bank.mars,bank.mars,martia,187527.5552,ff08bc93c9205855b8fd164ca44a4a7883ba1f4268cdc93a5ad91174a909ce42
3750,2022-01-16T11:00:16.000,martia,bank.mars,bank.mars,martia,187514.7584,44063744fe3fbfbda8a35d10fbd84fa650e5c1f1397be9e020ba5a25be13b9ba
3748,2022-01-16T10:00:16.000,martia,bank.mars,bank.mars,martia,187530.3982,38cd32faa092a998ebfc218f24c54f3993d7abdb1cf621b3f3f80581ac2d1fb5
3746,2022-01-16T09:00:16.000,martia,bank.mars,bank.mars,martia,187525.6094,05e527e898b4710817ab88fcbd448740743e9ee055df2a7a26d7059142ff0bfd
3744,2022-01-16T08:00:18.500,martia,bank.mars,bank.mars,martia,187521.3758,d5685918313a656e17e5a62e14b9fc9f9bbb2a0561d8aeba754611d321715f2d
3742,2022-01-16T07:00:16.500,martia,bank.mars,bank.mars,martia,187523.3852,d60847bcb595aefbae6c79e06b853e7d0e016e4211229893385437ed33556d87
3740,2022-01-16T06:00:16.000,martia,bank.mars,bank.mars,martia,187523.7332,230d13e46df5d7effb23ac7d64885f76f3707f7dcce47de279f2a81c79bd6de7
3738,2022-01-16T05:00:16.000,martia,bank.mars,bank.mars,martia,187519.2799,f4365017faee3c43dd7286bf30a4a8a994390dbb943b16a0ce90fee4915dcf06
3736,2022-01-16T04:00:16.500,martia,bank.mars,bank.mars,martia,187513.2330,a86fa1d81702b12965603690a57cf5b245b61a8d01ded9bfc4faacac542591a8
3734,2022-01-16T03:00:16.000,martia,bank.mars,bank.mars,martia,187506.9777,1032dc8fa3ece7c1c943f2cb55238cef146efc330796f1c4d59f442fb4188d67
3732,2022-01-16T02:00:16.500,martia,bank.mars,bank.mars,martia,187502.6243,456a44b0991203eb0d31a13a7ea4ef145a059ba297ca5cce60d695bb1835ba10
3730,2022-01-16T01:00:16.000,martia,bank.mars,bank.mars,martia,187497.3645,bed08d2a2baf64629c870cb84628a04b2fc27ec314e0ebbbd47470700b3deaf5
3728,2022-01-16T00:00:16.000,martia,bank.mars,bank.mars,martia,187455.1203,b59e1eb615bf842de447965dd7382907905c6ab1999c905c78a9da2c0f855fe9
